COUNTRY,COICOP_1999,TIME_PERIOD,OBS_VALUE
AFG,Health,2023-Q1,146.5428739962257
AFG,Health,2023-Q2,147.4067667193467
AFG,Health,2023-Q3,147.9183936321473
AFG,Health,2023-Q4,148.5453354129793
AFG,Health,2024-Q1,146.6470673050173
AFG,Health,2024-Q2,146.4640798261137
AFG,Health,2024-Q3,146.5433991626653
AFG,Health,2024-Q4,144.4475384508813
AFG,Transport,2016-Q1,100.6722656820374
AFG,Transport,2016-Q2,97.36203857630907
AFG,Transport,2016-Q3,98.85150631256117
AFG,Transport,2016-Q4,106.1144761325893
AFG,Transport,2017-Q1,105.303712369289
AFG,Transport,2017-Q2,104.6446283158697
AFG,Transport,2017-Q3,105.0173727676567
AFG,Transport,2017-Q4,107.9324331335747
AFG,Transport,2018-Q1,108.1483550669573
AFG,Transport,2018-Q2,108.8699744933313
AFG,Transport,2018-Q3,114.8944278915963
AFG,Transport,2018-Q4,118.7696824996393
AFG,Transport,2019-Q1,114.765454640043
AFG,Transport,2019-Q2,113.526970373412
AFG,Transport,2019-Q3,112.4083563212013
AFG,Transport,2019-Q4,110.6750185860187
AFG,Transport,2020-Q1,109.5287562629347
AFG,Transport,2020-Q2,104.4230914700007
AFG,Transport,2020-Q3,96.70443798976387
AFG,Transport,2020-Q4,96.8095325514506
AFG,Transport,2021-Q1,101.2271826062862
AFG,Transport,2021-Q2,107.6144130138433
AFG,Transport,2021-Q3,119.1108971159977
AFG,Transport,2021-Q4,135.9012877941493
AFG,Transport,2022-Q1,145.2817135272407
AFG,Transport,2022-Q2,144.2207237687153
AFG,Transport,2022-Q3,185.152021321568
AFG,Transport,2022-Q4,174.035627427488
AFG,Transport,2023-Q1,157.396493361787
AFG,Transport,2023-Q2,141.7058664407497
AFG,Transport,2023-Q3,138.575129342164
AFG,Transport,2023-Q4,141.013658080003
AFG,Transport,2024-Q1,132.1872952686713
AFG,Transport,2024-Q2,130.1500433158353
AFG,Transport,2024-Q3,130.5706839247653
AFG,Transport,2024-Q4,128.8190735120027
AFG,Recreation and Culture,2016-Q1,106.3104835381893
AFG,Recreation and Culture,2016-Q2,105.699108450612
AFG,Recreation and Culture,2016-Q3,105.626846233878
AFG,Recreation and Culture,2016-Q4,104.9428424642083
AFG,Recreation and Culture,2017-Q1,103.3954577022733
AFG,Recreation and Culture,2017-Q2,101.7005125778263
AFG,Recreation and Culture,2017-Q3,101.2179551116507
AFG,Recreation and Culture,2017-Q4,100.4052590230346
AFG,Recreation and Culture,2018-Q1,100.7970427654663
AFG,Recreation and Culture,2018-Q2,100.8587537367587
AFG,Recreation and Culture,2018-Q3,100.6315876286667
AFG,Recreation and Culture,2018-Q4,100.3288374978778
AFG,Recreation and Culture,2019-Q1,101.1531182413597
AFG,Recreation and Culture,2019-Q2,102.85817472099
AFG,Recreation and Culture,2019-Q3,103.6752934468073
AFG,Recreation and Culture,2019-Q4,103.303828394729
AFG,Recreation and Culture,2020-Q1,104.5420713892823
AFG,Recreation and Culture,2020-Q2,104.8401988530943
AFG,Recreation and Culture,2020-Q3,103.999321341189
AFG,Recreation and Culture,2020-Q4,106.1034652543217
AFG,Recreation and Culture,2021-Q1,105.8564714366537
AFG,Recreation and Culture,2021-Q2,105.3169061730033
AFG,Recreation and Culture,2021-Q3,105.9020890005
AFG,Recreation and Culture,2021-Q4,106.6476526210403
AFG,Recreation and Culture,2022-Q1,108.7801792018283
AFG,Recreation and Culture,2022-Q2,110.2931363460153
AFG,Recreation and Culture,2022-Q3,112.1719644138453
AFG,Recreation and Culture,2022-Q4,111.8889330915197
AFG,Recreation and Culture,2023-Q1,112.0740235396893
AFG,Recreation and Culture,2023-Q2,113.5305616646107
AFG,Recreation and Culture,2023-Q3,112.6004657537623
AFG,Recreation and Culture,2023-Q4,110.6503343026673
AFG,Recreation and Culture,2024-Q1,109.3533629320903
AFG,Recreation and Culture,2024-Q2,110.197903648598
AFG,Recreation and Culture,2024-Q3,109.2993548784383
AFG,Recreation and Culture,2024-Q4,109.7196668777807
AFG,Restaurants and hotels,2016-Q1,101.4184077702267
AFG,Restaurants and hotels,2016-Q2,101.2971940763653
AFG,Restaurants and hotels,2016-Q3,103.453590941655
AFG,Restaurants and hotels,2016-Q4,104.1856655178813
AFG,Restaurants and hotels,2017-Q1,102.5684592971927
AFG,Restaurants and hotels,2017-Q2,102.7545369988873
AFG,Restaurants and hotels,2017-Q3,103.3503634350513
AFG,Restaurants and hotels,2017-Q4,103.9458144551707
AFG,Restaurants and hotels,2018-Q1,104.0516090422213
AFG,Restaurants and hotels,2018-Q2,104.9124039093673
AFG,Restaurants and hotels,2018-Q3,106.4516115385627
AFG,Restaurants and hotels,2018-Q4,106.6113286503557
AFG,Restaurants and hotels,2019-Q1,107.4811488900907
AFG,Restaurants and hotels,2019-Q2,109.171644562818
AFG,Restaurants and hotels,2019-Q3,108.372952389949
AFG,Restaurants and hotels,2019-Q4,110.2199260045037
AFG,Restaurants and hotels,2020-Q1,110.9985252173757
AFG,Restaurants and hotels,2020-Q2,110.9012621000983
AFG,Restaurants and hotels,2020-Q3,109.876995572197
AFG,Restaurants and hotels,2020-Q4,110.7743206208167
AFG,Restaurants and hotels,2021-Q1,110.916182993224
AFG,Restaurants and hotels,2021-Q2,111.0783164065097
AFG,Restaurants and hotels,2021-Q3,112.359975701839
AFG,Restaurants and hotels,2021-Q4,113.4019808783097
AFG,Restaurants and hotels,2022-Q1,112.349035813551
AFG,Restaurants and hotels,2022-Q2,112.1516908111433
AFG,Restaurants and hotels,2022-Q3,112.9512514910907
AFG,Restaurants and hotels,2022-Q4,112.4822440156257
AFG,Restaurants and hotels,2023-Q1,113.262783413161
AFG,Restaurants and hotels,2023-Q2,113.1948973880397
AFG,Restaurants and hotels,2023-Q3,112.5719060351977
AFG,Restaurants and hotels,2023-Q4,112.6408016675853
AFG,Restaurants and hotels,2024-Q1,113.1021594400147
AFG,Restaurants and hotels,2024-Q2,113.4562822636767
AFG,Restaurants and hotels,2024-Q3,112.767938204138
AFG,Restaurants and hotels,2024-Q4,112.877831562377
AGO,Food and non-alcoholic beverages,2016-Q1,34.06239937236267
AGO,Food and non-alcoholic beverages,2016-Q2,38.01127169682083
AGO,Food and non-alcoholic beverages,2016-Q3,43.41508597325043
AGO,Food and non-alcoholic beverages,2016-Q4,45.69625878165497
AGO,Food and non-alcoholic beverages,2017-Q1,48.17092626353297
AGO,Food and non-alcoholic beverages,2017-Q2,50.38316433910097
AGO,Food and non-alcoholic beverages,2017-Q3,52.62423290177737
AGO,Food and non-alcoholic beverages,2017-Q4,54.94544986262703
AGO,Food and non-alcoholic beverages,2018-Q1,56.57149695599593
AGO,Food and non-alcoholic beverages,2018-Q2,58.56235951045393
AGO,Food and non-alcoholic beverages,2018-Q3,60.64790849608697
AGO,Food and non-alcoholic beverages,2018-Q4,63.04753233711537
AGO,Food and non-alcoholic beverages,2019-Q1,65.4764508614937
AGO,Food and non-alcoholic beverages,2019-Q2,67.8287104606401
AGO,Food and non-alcoholic beverages,2019-Q3,70.56333720728277
AGO,Food and non-alcoholic beverages,2019-Q4,74.49280792033247
AGO,Food and non-alcoholic beverages,2020-Q1,79.32916349744423
AGO,Food and non-alcoholic beverages,2020-Q2,85.83174707850297
AGO,Food and non-alcoholic beverages,2020-Q3,91.59096016420453
AGO,Food and non-alcoholic beverages,2020-Q4,97.68835410828153
AGO,Food and non-alcoholic beverages,2021-Q1,104.353402894245
AGO,Food and non-alcoholic beverages,2021-Q2,112.281875307588
AGO,Food and non-alcoholic beverages,2021-Q3,121.255687606121
AGO,Food and non-alcoholic beverages,2021-Q4,130.567057019723
AGO,Food and non-alcoholic beverages,2022-Q1,139.3762027791817
AGO,Food and non-alcoholic beverages,2022-Q2,144.4964239603903
AGO,Food and non-alcoholic beverages,2022-Q3,147.329922598162
AGO,Food and non-alcoholic beverages,2022-Q4,150.2617387843663
AGO,Food and non-alcoholic beverages,2023-Q1,153.8219257540283
AGO,Food and non-alcoholic beverages,2023-Q2,158.3390012161583
AGO,Food and non-alcoholic beverages,2023-Q3,167.0829755438453
AGO,Food and non-alcoholic beverages,2023-Q4,179.6458222065643
AGO,Food and non-alcoholic beverages,2024-Q1,195.9371096049203
AGO,Food and non-alcoholic beverages,2024-Q2,212.668253086201
AGO,Food and non-alcoholic beverages,2024-Q3,224.8342495966337
AGO,Food and non-alcoholic beverages,2024-Q4,236.4841427189143
AGO,Food and non-alcoholic beverages,2025-Q1,249.2989463984837
AGO,Housing,2016-Q1,50.75198906298423
AGO,Housing,2016-Q2,54.72884462089203
AGO,Housing,2016-Q3,56.5289049659482
AGO,Housing,2016-Q4,57.16344906261783
AGO,Housing,2017-Q1,58.04128021848653
AGO,Housing,2017-Q2,58.93050721900827
AGO,Housing,2017-Q3,60.05309686612153
AGO,Housing,2017-Q4,62.68645246078187
AGO,Housing,2018-Q1,64.25131584363067
AGO,Housing,2018-Q2,65.70899648249303
AGO,Housing,2018-Q3,71.3914520404544
AGO,Housing,2018-Q4,81.08904339455783
AGO,Housing,2019-Q1,82.17544384400247
AGO,Housing,2019-Q2,84.26843502201637
AGO,Housing,2019-Q3,89.2873669459765
AGO,Housing,2019-Q4,90.89803496057873
AGO,Housing,2020-Q1,92.65203521687403
AGO,Housing,2020-Q2,94.0848871742812
AGO,Housing,2020-Q3,95.73312623008607
AGO,Housing,2020-Q4,98.40463378181327
AGO,Housing,2021-Q1,101.9410716372407
AGO,Housing,2021-Q2,105.107470878058
AGO,Housing,2021-Q3,107.4206014427037
AGO,Housing,2021-Q4,110.4802579631337
AGO,Housing,2022-Q1,113.9462278199433
AGO,Housing,2022-Q2,117.5257038620117
AGO,Housing,2022-Q3,120.2575315830133
AGO,Housing,2022-Q4,122.9457837073713
AGO,Housing,2023-Q1,125.2637122658377
AGO,Housing,2023-Q2,127.2104496144567
AGO,Housing,2023-Q3,129.4659745777443
AGO,Housing,2023-Q4,133.670325799108
AGO,Housing,2024-Q1,140.3938250661853
AGO,Housing,2024-Q2,146.9140968157857
AGO,Housing,2024-Q3,153.2504255294457
AGO,Housing,2024-Q4,158.4484496565833
AGO,Housing,2025-Q1,162.9436017823917
AGO,Health,2016-Q1,26.8981276578943
AGO,Health,2016-Q2,31.52989796889997
AGO,Health,2016-Q3,36.1334586178046
AGO,Health,2016-Q4,38.9130744815876
AGO,Health,2017-Q1,41.6158468971208
AGO,Health,2017-Q2,45.36538951084673
AGO,Health,2017-Q3,49.3320528105623
AGO,Health,2017-Q4,54.2485026357734
AGO,Health,2018-Q1,57.22587855621357
AGO,Health,2018-Q2,60.26145750177067
AGO,Health,2018-Q3,63.32209731678633
AGO,Health,2018-Q4,66.7568077905315
AGO,Health,2019-Q1,69.86762456667703
AGO,Health,2019-Q2,73.02040496371367
AGO,Health,2019-Q3,76.87712675349317
AGO,Health,2019-Q4,80.1707710917977
AGO,Health,2020-Q1,83.53312840372507
AGO,Health,2020-Q2,88.12109108663317
AGO,Health,2020-Q3,92.78577576241947
AGO,Health,2020-Q4,98.06294200322953
AGO,Health,2021-Q1,103.1551927165717
AGO,Health,2021-Q2,109.8214853564953
AGO,Health,2021-Q3,116.5301656683053
AGO,Health,2021-Q4,123.5363519779223
AGO,Health,2022-Q1,131.1886446962543
AGO,Health,2022-Q2,137.9679406333423
AGO,Health,2022-Q3,144.9513147455693
AGO,Health,2022-Q4,152.6431414774543
AGO,Health,2023-Q1,161.2090441911883
AGO,Health,2023-Q2,170.7164973628137
AGO,Health,2023-Q3,182.010588712035
AGO,Health,2023-Q4,196.699714748525
AGO,Health,2024-Q1,215.2810461132117
AGO,Health,2024-Q2,236.152214770303
AGO,Health,2024-Q3,254.0551567401077
AGO,Health,2024-Q4,271.5045109628653
AGO,Health,2025-Q1,289.6979442670317
AGO,Transport,2016-Q1,49.27686007477393
AGO,Transport,2016-Q2,52.78071598857617
AGO,Transport,2016-Q3,55.1053247054128
AGO,Transport,2016-Q4,56.9370034594378
AGO,Transport,2017-Q1,59.07428780699747
AGO,Transport,2017-Q2,61.39001408257853
AGO,Transport,2017-Q3,62.95277892348567
AGO,Transport,2017-Q4,65.79599413831717
AGO,Transport,2018-Q1,68.2332730009179
AGO,Transport,2018-Q2,71.14065617273047
AGO,Transport,2018-Q3,73.7095537581203
AGO,Transport,2018-Q4,76.26186788604423
AGO,Transport,2019-Q1,77.7307344840163
AGO,Transport,2019-Q2,79.02294361160833
AGO,Transport,2019-Q3,81.56042229563517
AGO,Transport,2019-Q4,84.51509708972653
AGO,Transport,2020-Q1,87.5708007352216
AGO,Transport,2020-Q2,90.43754283425707
AGO,Transport,2020-Q3,93.9419399148543
AGO,Transport,2020-Q4,98.3623301196428
AGO,Transport,2021-Q1,102.0283957672513
AGO,Transport,2021-Q2,105.662561383809
AGO,Transport,2021-Q3,108.9856529559147
AGO,Transport,2021-Q4,113.44765014156
AGO,Transport,2022-Q1,118.0951003364903
AGO,Transport,2022-Q2,120.9127854719627
AGO,Transport,2022-Q3,122.057316106831
AGO,Transport,2022-Q4,122.8728920553507
AGO,Transport,2023-Q1,123.831676905881
AGO,Transport,2023-Q2,125.9178612757667
AGO,Transport,2023-Q3,132.5266534637933
AGO,Transport,2023-Q4,140.4988846260397
AGO,Transport,2024-Q1,143.504232758975
AGO,Transport,2024-Q2,156.924176514828
AGO,Transport,2024-Q3,164.912703775223
AGO,Transport,2024-Q4,168.077424794716
AGO,Transport,2025-Q1,171.1100768658643
AGO,Recreation and Culture,2016-Q1,34.23720526007997
AGO,Recreation and Culture,2016-Q2,36.42554207306003
AGO,Recreation and Culture,2016-Q3,39.67906975911977
AGO,Recreation and Culture,2016-Q4,43.3906951411961
AGO,Recreation and Culture,2017-Q1,47.10601909586847
AGO,Recreation and Culture,2017-Q2,50.097611850506
AGO,Recreation and Culture,2017-Q3,52.91240521604027
AGO,Recreation and Culture,2017-Q4,56.82907927820383
AGO,Recreation and Culture,2018-Q1,59.80026270530777
AGO,Recreation and Culture,2018-Q2,63.3981111259371
AGO,Recreation and Culture,2018-Q3,66.36660750616067
AGO,Recreation and Culture,2018-Q4,69.41654543995017
AGO,Recreation and Culture,2019-Q1,72.33167481493057
AGO,Recreation and Culture,2019-Q2,75.54084539535987
AGO,Recreation and Culture,2019-Q3,79.14281640242803
AGO,Recreation and Culture,2019-Q4,82.7363380791532
AGO,Recreation and Culture,2020-Q1,86.94807471617347
AGO,Recreation and Culture,2020-Q2,89.2865295386585
AGO,Recreation and Culture,2020-Q3,92.37268823130107
AGO,Recreation and Culture,2020-Q4,98.21441944305467
AGO,Recreation and Culture,2021-Q1,102.478079857307
AGO,Recreation and Culture,2021-Q2,106.0863509011693
AGO,Recreation and Culture,2021-Q3,109.6486906612003
AGO,Recreation and Culture,2021-Q4,114.2204069060163
AGO,Recreation and Culture,2022-Q1,118.7071806482123
AGO,Recreation and Culture,2022-Q2,123.0017880831533
AGO,Recreation and Culture,2022-Q3,126.9640256440343
AGO,Recreation and Culture,2022-Q4,131.2005259193377
AGO,Recreation and Culture,2023-Q1,135.544153882608
AGO,Recreation and Culture,2023-Q2,139.542656002087
AGO,Recreation and Culture,2023-Q3,144.2770357821233
AGO,Recreation and Culture,2023-Q4,149.729046819474
AGO,Recreation and Culture,2024-Q1,155.526470881974
AGO,Recreation and Culture,2024-Q2,161.864215133737
AGO,Recreation and Culture,2024-Q3,167.956628268604
AGO,Recreation and Culture,2024-Q4,175.5027671943297
AGO,Recreation and Culture,2025-Q1,182.9163598611033
AGO,Restaurants and hotels,2016-Q1,35.22716011686677
AGO,Restaurants and hotels,2016-Q2,38.8122053510184
AGO,Restaurants and hotels,2016-Q3,42.4765854143734
AGO,Restaurants and hotels,2016-Q4,45.79966423704143
AGO,Restaurants and hotels,2017-Q1,48.70179772852667
AGO,Restaurants and hotels,2017-Q2,51.49778675185767
AGO,Restaurants and hotels,2017-Q3,53.84488013359253
AGO,Restaurants and hotels,2017-Q4,57.07706498098867
AGO,Restaurants and hotels,2018-Q1,59.38723122046313
AGO,Restaurants and hotels,2018-Q2,61.6955795534604
AGO,Restaurants and hotels,2018-Q3,63.99997409585217
AGO,Restaurants and hotels,2018-Q4,67.09070682296017
AGO,Restaurants and hotels,2019-Q1,69.82354699940603
AGO,Restaurants and hotels,2019-Q2,71.7844728184927
AGO,Restaurants and hotels,2019-Q3,74.5792352894748
AGO,Restaurants and hotels,2019-Q4,78.2656029804474
AGO,Restaurants and hotels,2020-Q1,82.0905909499805
AGO,Restaurants and hotels,2020-Q2,87.17844653470733
AGO,Restaurants and hotels,2020-Q3,92.74587213685213
AGO,Restaurants and hotels,2020-Q4,98.15103966929667
AGO,Restaurants and hotels,2021-Q1,102.7404898774753
AGO,Restaurants and hotels,2021-Q2,108.0507842571087
AGO,Restaurants and hotels,2021-Q3,113.092570258951
AGO,Restaurants and hotels,2021-Q4,118.1733874318657
AGO,Restaurants and hotels,2022-Q1,124.180596707564
AGO,Restaurants and hotels,2022-Q2,128.9713381652833
AGO,Restaurants and hotels,2022-Q3,132.655050329696
AGO,Restaurants and hotels,2022-Q4,136.6809171159003
AGO,Restaurants and hotels,2023-Q1,141.2445443302693
AGO,Restaurants and hotels,2023-Q2,146.5772371774473
AGO,Restaurants and hotels,2023-Q3,153.2412851526393
AGO,Restaurants and hotels,2023-Q4,162.3931346909067
AGO,Restaurants and hotels,2024-Q1,174.0954882257137
AGO,Restaurants and hotels,2024-Q2,187.8010139085923
AGO,Restaurants and hotels,2024-Q3,200.31567845117
AGO,Restaurants and hotels,2024-Q4,212.763112842323
AGO,Restaurants and hotels,2025-Q1,225.6756491979973
AIA,Food and non-alcoholic beverages,2016-Q1,111.31
AIA,Food and non-alcoholic beverages,2016-Q2,111.29
AIA,Food and non-alcoholic beverages,2016-Q3,112.22
AIA,Food and non-alcoholic beverages,2016-Q4,112.49217
